22/04/2019 16:20:55 DEBUG [Thread-1  ] ExecutorTarefa                                     run                            - Iniciando produto: CTAS_DESMAT .
22/04/2019 16:22:18 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:18 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:20 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (13).zip .
22/04/2019 16:22:20 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:20 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:20 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (13)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:20 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
22/04/2019 16:22:21 INFO  [Thread-1  ] Produto                                            executar                       - Arquivo RAST criado com sucesso!
22/04/2019 16:22:21 INFO  [Thread-1  ] Produto                                            executar                       - Aquivo ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (13).zip foi processado
22/04/2019 16:22:21 INFO  [Thread-1  ] Produto                                            executar                       - Finalizando EBCDIC.
22/04/2019 16:22:21 INFO  [Thread-1  ] Configuracao                                       salvarEbcdic                   - Criando o arquivo IMAG_CTAS_DESMAT_22042019_162221206.txt
22/04/2019 16:22:21 INFO  [Thread-1  ] Produto                                            executar                       - EBCDIC Criado com sucesso!
22/04/2019 16:22:21 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:21 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:22 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (14).zip .
22/04/2019 16:22:22 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:22 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:23 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (14)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:23 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
22/04/2019 16:22:23 INFO  [Thread-1  ] Produto                                            executar                       - Arquivo RAST criado com sucesso!
22/04/2019 16:22:23 INFO  [Thread-1  ] Produto                                            executar                       - Aquivo ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (14).zip foi processado
22/04/2019 16:22:23 INFO  [Thread-1  ] Produto                                            executar                       - Finalizando EBCDIC.
22/04/2019 16:22:23 INFO  [Thread-1  ] Configuracao                                       salvarEbcdic                   - Criando o arquivo IMAG_CTAS_DESMAT_22042019_162223872.txt
22/04/2019 16:22:23 INFO  [Thread-1  ] Produto                                            executar                       - EBCDIC Criado com sucesso!
22/04/2019 16:22:23 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:23 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:25 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (15).zip .
22/04/2019 16:22:25 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:26 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:27 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (15)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:27 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
22/04/2019 16:22:27 INFO  [Thread-1  ] Produto                                            executar                       - Arquivo RAST criado com sucesso!
22/04/2019 16:22:27 INFO  [Thread-1  ] Produto                                            executar                       - Aquivo ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (15).zip foi processado
22/04/2019 16:22:27 INFO  [Thread-1  ] Produto                                            executar                       - Finalizando EBCDIC.
22/04/2019 16:22:27 INFO  [Thread-1  ] Configuracao                                       salvarEbcdic                   - Criando o arquivo IMAG_CTAS_DESMAT_22042019_162227886.txt
22/04/2019 16:22:27 INFO  [Thread-1  ] Produto                                            executar                       - EBCDIC Criado com sucesso!
22/04/2019 16:22:27 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:27 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:30 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (16).zip .
22/04/2019 16:22:30 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:30 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:31 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (16)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:31 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
22/04/2019 16:22:32 INFO  [Thread-1  ] Produto                                            executar                       - Arquivo RAST criado com sucesso!
22/04/2019 16:22:32 INFO  [Thread-1  ] Produto                                            executar                       - Aquivo ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (16).zip foi processado
22/04/2019 16:22:32 INFO  [Thread-1  ] Produto                                            executar                       - Finalizando EBCDIC.
22/04/2019 16:22:32 INFO  [Thread-1  ] Configuracao                                       salvarEbcdic                   - Criando o arquivo IMAG_CTAS_DESMAT_22042019_162232333.txt
22/04/2019 16:22:32 INFO  [Thread-1  ] Produto                                            executar                       - EBCDIC Criado com sucesso!
22/04/2019 16:22:32 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:32 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:33 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (17).zip .
22/04/2019 16:22:33 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:34 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:34 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (17)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:34 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
22/04/2019 16:22:35 INFO  [Thread-1  ] Produto                                            executar                       - Arquivo RAST criado com sucesso!
22/04/2019 16:22:35 INFO  [Thread-1  ] Produto                                            executar                       - Aquivo ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (17).zip foi processado
22/04/2019 16:22:35 INFO  [Thread-1  ] Produto                                            executar                       - Finalizando EBCDIC.
22/04/2019 16:22:35 INFO  [Thread-1  ] Configuracao                                       salvarEbcdic                   - Criando o arquivo IMAG_CTAS_DESMAT_22042019_162235781.txt
22/04/2019 16:22:35 INFO  [Thread-1  ] Produto                                            executar                       - EBCDIC Criado com sucesso!
22/04/2019 16:22:35 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:35 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:37 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (18).zip .
22/04/2019 16:22:37 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:37 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:38 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (18)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:38 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
22/04/2019 16:22:38 INFO  [Thread-1  ] Produto                                            executar                       - Arquivo RAST criado com sucesso!
22/04/2019 16:22:38 INFO  [Thread-1  ] Produto                                            executar                       - Aquivo ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (18).zip foi processado
22/04/2019 16:22:38 INFO  [Thread-1  ] Produto                                            executar                       - Finalizando EBCDIC.
22/04/2019 16:22:38 INFO  [Thread-1  ] Configuracao                                       salvarEbcdic                   - Criando o arquivo IMAG_CTAS_DESMAT_22042019_162238690.txt
22/04/2019 16:22:38 INFO  [Thread-1  ] Produto                                            executar                       - EBCDIC Criado com sucesso!
22/04/2019 16:22:38 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:38 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
